area_id,weight,volume,fat,sugar,saturate,protein,carb,salt,fibre,energy_fat,energy_sugar,energy_saturate,energy_protein,energy_fibre,energy_carb,energy_tot,number_reception_measured,number_y6_measured,prevalence_overweight_reception,prevalence_overweight_y6,prevalence_obese_reception,prevalence_obese_y6
E05000026,101.23232336461993,28.365542027931653,2.1368140528637993,2.469518231865769,0.8318013986164252,1.1209134078823628,4.364686480648341,0.13134183825817514,0.352364786395629,19.23132647576477,9.878072927463077,7.4862125875615755,4.483653631529451,0.6508844066188639,17.458745922593362,42.13699888211092,712,441,0.259831461,0.387755102,0.133426966,0.247165533
E05000027,93.03418777598256,24.92082244418543,2.1919495804039135,2.3677791086295783,0.8030198451319761,1.1736389322456389,4.267492382039934,0.12795133604193884,0.35624697894767016,19.72754622363873,9.471116434518313,7.22717860618697,4.6945557289825555,0.657080200887611,17.06996952815974,42.4800557405845,592,427,0.224662162,0.402810304,0.099662162,0.259953162
E05000028,91.67631900408267,27.47149663255351,2.0754516464134842,2.407378158611056,0.8137547383682517,1.1692965851040005,4.4277624437269205,0.13748870972710595,0.354076788211713,18.6790648177131,9.629512634444223,7.323792645325636,4.677186340415999,0.6573827458952842,17.71104977490768,42.080032812145795,665,499,0.24962406,0.466933868,0.123308271,0.29258517
E05000029,86.51339801124817,27.528891123593944,2.1844062565504476,2.913688056380146,0.8920503144129475,1.06250355655557,4.522948493625268,0.12006863875156343,0.3491272407315282,19.659656308958272,11.654752225520584,8.028452829716715,4.25001422622228,0.6459385879032555,18.091793974501073,42.96327316106719,484,362,0.241735537,0.422651934,0.128099174,0.245856354
E05000030,80.36758981090384,24.76219051742937,2.1127207513159103,2.5520933311173093,0.8139981568522034,1.1951018490198235,4.40960170145588,0.127636022587855,0.36209902290014473,19.014486761847415,10.208373324469237,7.325983411669113,4.780407396079293,0.6673925854070654,17.63840680582352,42.36702141362447,446,320,0.257847534,0.378125,0.125560538,0.215625
E05000031,97.0007754944447,28.24105919394828,2.0242258268363047,2.3339675267722706,0.8065513413542642,1.1903651126875705,4.263264298342881,0.14434506978297415,0.34330902273233527,18.218032441510505,9.335870107089082,7.258962072193271,4.761460450750282,0.6384769887755612,17.053057193371522,41.03540435903176,625,479,0.2656,0.415448852,0.1152,0.265135699
E05000032,99.47696993696346,27.330276964887894,1.9714029066452725,2.2741381605145405,0.7673057828536317,1.164857444433826,4.196431813543574,0.13223008729934665,0.3509877734404647,17.742626159797123,9.096552642058164,6.905752045694204,4.659429777735304,0.6501773055766668,16.78572725417429,40.17070662006092,783,514,0.295019157,0.426070039,0.162196679,0.289883268
E05000033,96.30294421114681,27.695130409691767,2.107577077109724,2.3330367306555875,0.8082195062430017,1.1961078642409497,4.4056785833624845,0.14466842083043524,0.35653127051815436,18.968193693989864,9.33214692262235,7.273975556188517,4.784431456963799,0.665580910754339,17.622714333449935,42.37632578899077,667,457,0.287856072,0.393873085,0.16191904,0.251641138
E05000034,88.27699215298227,26.517314652749892,2.0502859546174075,2.538856997177967,0.7780860753041694,1.1825363083263312,4.603597061303185,0.13487274002282623,0.34726682399070946,18.452573591560707,10.155427988711864,7.0027746777340445,4.730145233305325,0.6448657919431201,18.41438824521274,42.58562421758601,592,442,0.268581081,0.42081448,0.150337838,0.260180995
E05000035,96.51781981945348,28.85615299727366,2.1186083944287746,2.5339086569502234,0.8477285236033304,1.1519502655144271,4.459105490990435,0.13520876590223754,0.3844475066679962,19.067475549836548,10.135634627800892,7.629556712427675,4.607801062057709,0.713179157701819,17.83642196396174,42.51685795429632,482,438,0.228215768,0.413242009,0.114107884,0.248858447
E05000036,92.75440264871021,27.905448585984075,2.034351942110927,2.330600852283893,0.7892980651386303,1.218613631304625,4.507464041284943,0.13864672981564616,0.3577145236374148,18.309167478997924,9.322403409135571,7.1036825862570785,4.8744545252185,0.6647349068274114,18.029856165139776,42.21756997192369,573,432,0.268760908,0.425925926,0.12565445,0.243055556
E05000037,92.03816531702357,27.20549657506707,2.110606697840149,2.483437173730237,0.8153272271916058,1.1852437638101212,4.4392953049030925,0.1387519295521836,0.3573369129340815,18.995460280565762,9.933748694920952,7.337945044724423,4.740975055240485,0.660552286132009,17.75718121961237,42.4479740701443,559,343,0.266547406,0.428571429,0.148479428,0.265306122
E05000038,92.38971450733675,25.727188922038795,2.0928180687861455,2.4715738030826135,0.7916449994242682,1.190975825259642,4.711932798090416,0.13798444148059824,0.36489843705487196,18.83536261908156,9.886295212330454,7.124804994819471,4.763903301038568,0.6767969963198812,18.84773119236166,43.381388006918414,633,401,0.301737757,0.431421446,0.172195893,0.301745636
E05000039,100.86378618908144,28.30839558295226,1.9873959139181687,2.356586413485451,0.7743060856182395,1.1844930403505587,4.751080819873583,0.13777464851804996,0.35299564728739696,17.886563225254932,9.426345653941803,6.968754770566995,4.737972161402235,0.659767811249069,19.00432327949433,42.60444937433319,634,497,0.294952681,0.430583501,0.15615142,0.269617706
E05000040,85.30083077666856,25.454224486867624,2.1915983013682028,2.5108601110602184,0.8751733687199538,1.1715832332679448,4.488093383534519,0.1433320593951692,0.3580117197397603,19.724384712318468,10.043440444240874,7.876560318479924,4.686332933071781,0.6609247737919952,17.952373534138076,43.307984043213914,564,415,0.244680851,0.395180723,0.122340426,0.245783133
E05000041,87.28553105878518,24.226389341663463,2.12157633902712,2.446768759334711,0.8023357578078101,1.1424939326165047,4.321025644453144,0.13049958496349678,0.3501144170855388,19.094187051248287,9.787075037338845,7.221021820269263,4.569975730466019,0.6467280833881212,17.284102577812575,41.98111950772528,589,398,0.24278438,0.429648241,0.129032258,0.278894472
E05000042,88.53939415501799,27.572150945605486,2.0627750880878644,2.518884337955434,0.7897905367036282,1.1652321053924797,4.725833902880089,0.12255784626117083,0.37481407846312814,18.564975792795916,10.075537351821737,7.108114830333071,4.6609284215699205,0.6971943833264558,18.90333561152035,43.05679024500225,478,368,0.240585774,0.391304348,0.127615063,0.22826087
E05000043,86.50437162825055,25.849829887603455,2.0189368044489715,2.2687033483875707,0.8030132863196663,1.2242825233620998,4.046456062533218,0.13591374517850444,0.3701997601272192,18.170431240119573,9.074813393550283,7.227119576859428,4.897130093448397,0.6942550217682961,16.18582425013287,40.31273212223531,520,564,0.221153846,0.310283688,0.107692308,0.164893617
